date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2018-07-31,0.394,0.405,0.422,0.384,68523,11245352.0,9.72,3.58,0.014,0.03
2018-08-31,0.405,0.433,0.45,0.395,187682,31648154.0,13.58,6.91,0.028,0.09
2018-09-28,0.433,0.432,0.436,0.417,101248,17274381.0,4.39,-0.23,-0.001,0.05
2018-10-31,0.423,0.388,0.425,0.382,128494,20594183.0,9.95,-10.19,-0.044,0.06
2018-11-30,0.393,0.389,0.406,0.368,124044,19165649.0,9.79,0.26,0.001,0.06
2018-12-28,0.395,0.352,0.401,0.329,114672,16669406.0,18.51,-9.51,-0.037,0.05
2019-01-31,0.355,0.374,0.388,0.338,53294,7726688.0,14.2,6.25,0.022,0.02
2019-02-28,0.377,0.384,0.388,0.376,54454,8344074.0,3.21,2.67,0.01,0.02
2019-03-29,0.385,0.4,0.408,0.376,182598,28455999.0,8.33,4.17,0.016,0.08
2019-04-30,0.401,0.433,0.45,0.401,78611,13304889.0,12.25,8.25,0.033,0.04
2019-05-31,0.432,0.395,0.432,0.388,72523,11982935.0,10.16,-8.78,-0.038,0.03
2019-06-28,0.395,0.418,0.428,0.383,58522,9667332.0,11.39,5.82,0.023,0.03
2019-07-31,0.424,0.439,0.446,0.423,64118,11115353.0,5.5,5.02,0.021,0.03
2019-08-30,0.435,0.439,0.451,0.413,112590,19423274.0,8.66,0.0,0.0,0.05
2019-09-30,0.44,0.436,0.454,0.433,74408,13165212.0,4.78,-0.68,-0.003,0.03
2019-10-31,0.436,0.454,0.455,0.429,41531,7346862.0,5.96,4.13,0.018,0.02
2019-11-29,0.453,0.489,0.523,0.453,58085,11036918.0,15.42,7.71,0.035,0.03
2019-12-31,0.489,0.489,0.5,0.465,235170,45048662.0,7.16,0.0,0.0,0.11
2020-01-23,0.495,0.505,0.517,0.488,577539,116370044.0,5.93,3.27,0.016,0.26
2020-02-28,0.483,0.496,0.604,0.483,2625014,572240296.0,23.96,-1.78,-0.009,1.2
2020-03-31,0.5,0.448,0.536,0.41,5609885,1026399621.0,25.4,-9.68,-0.048,2.56
2020-04-30,0.441,0.542,0.551,0.435,4389422,857683245.0,25.89,20.98,0.094,2.01
2020-05-29,0.536,0.523,0.547,0.505,3466308,728745840.0,7.75,-3.51,-0.019,1.58
2020-06-30,0.529,0.547,0.562,0.517,3151246,683491694.0,8.6,4.59,0.024,1.44
2020-07-31,0.555,0.59,0.602,0.53,3255302,751082334.0,13.16,7.86,0.043,1.49
2020-08-31,0.592,0.691,0.692,0.588,4171162,1063749146.0,17.63,17.12,0.101,1.91
2020-09-30,0.696,0.651,0.8,0.604,13872899,3740142408.0,28.36,-5.79,-0.04,6.34
2020-10-30,0.667,0.599,0.694,0.596,6029391,1564068793.0,15.05,-7.99,-0.052,2.75
2020-11-30,0.599,0.622,0.668,0.599,10162109,2546842497.0,11.52,3.84,0.023,4.64
2020-12-31,0.629,0.65,0.65,0.624,5657835,1441619731.0,4.18,4.5,0.028,2.59
2021-01-29,0.649,0.654,0.681,0.631,5134110,1333753926.0,7.69,0.62,0.004,2.35
2021-02-26,0.645,0.637,0.688,0.635,2198341,587018343.0,8.1,-2.6,-0.017,1.0
2021-03-31,0.646,0.651,0.666,0.616,3192043,821785184.0,7.85,2.2,0.014,1.46
2021-04-30,0.662,0.701,0.711,0.654,1780082,495503801.0,8.76,7.68,0.05,0.81
2021-05-31,0.685,0.674,0.687,0.651,1990676,534141017.0,5.14,-3.85,-0.027,0.91
2021-06-30,0.674,0.73,0.731,0.666,1566254,436366881.0,9.64,8.31,0.056,0.72
2021-07-30,0.729,0.742,0.763,0.726,1295755,385943217.0,5.07,1.64,0.012,0.59
2021-08-31,0.75,0.79,0.792,0.745,1347686,411759876.0,6.33,6.47,0.048,0.62
2021-09-30,0.786,0.75,0.789,0.742,1114046,343643283.0,5.95,-5.06,-0.04,0.51
2021-10-29,0.751,0.775,0.779,0.732,1217576,369312536.0,6.27,3.33,0.025,0.56
2021-11-30,0.786,0.81,0.827,0.786,2152224,695489221.0,5.29,4.52,0.035,0.98
2021-12-31,0.805,0.814,0.82,0.773,2776996,887720565.0,5.8,0.49,0.004,1.27
